timestamp,vehicleId,speed,heading,longitude,lattitude
2.18627,18,26.46,23.6,2786.73,7545.27
2.386,18,26.6,23.6,2789.14,7539.75
2.586,18,26.75,23.6,2791.55,7534.21
2.78627,18,26.93,23.6,2793.98,7528.64
2.986,18,27.07,23.6,2796.43,7523.04
3.186,18,27.25,23.6,2798.88,7517.41
3.38627,18,27.4,23.6,2801.34,7511.76
3.586,18,27.6,23.6,2803.82,7506.07
3.786,18,27.77,23.6,2806.32,7500.35
3.98627,18,27.91,23.6,2808.82,7494.61
4.186,18,28.07,23.6,2811.34,7488.84
4.38462,450,24.96,23.6,2813.87,7483.04
4.386,18,28.23,23.6,2813.87,7483.04
4.58435,450,24.97,23.6,2816.41,7477.22
4.58627,18,28.4,23.6,2816.41,7477.22
4.78435,450,24.95,23.6,2818.96,7471.37
4.786,18,28.57,23.6,2818.96,7471.37
4.98462,450,24.97,23.6,2821.52,7465.5
4.986,18,28.71,23.6,2821.52,7465.5
5.18435,450,24.99,23.6,2824.09,7459.6
5.18627,18,28.85,23.6,2824.09,7459.6
5.38435,450,24.96,23.6,2823.74,7452.41
5.386,18,28.98,23.6,2823.74,7452.41
5.58462,450,25,23.6,2826.34,7446.45
5.586,18,29.11,23.6,2826.34,7446.45
5.78435,450,24.99,23.6,2828.95,7440.47
5.78627,18,29.25,23.6,2828.95,7440.47
5.98435,450,24.97,23.6,2831.56,7434.46
5.986,18,29.41,23.5,2831.56,7434.46
6.18462,450,24.99,23.6,2834.2,7428.43
6.186,18,29.57,21.9,2834.2,7428.43
6.38435,450,24.97,23.6,2836.84,7422.37
6.38627,18,29.74,21.9,2836.84,7422.37
6.58435,450,24.95,23.6,2839.49,7416.29
6.586,18,29.91,21.9,2839.49,7416.29
6.78462,450,24.96,23.6,2842.15,7410.18
6.786,18,30.03,21.9,2842.15,7410.18
6.98435,450,24.99,23.6,2844.81,7404.08
6.98627,18,30.18,21.9,2844.81,7404.08
7.18435,450,24.97,23.6,2847.43,7397.96
7.186,18,30.35,21.9,2847.43,7397.96
7.38462,450,24.95,23.6,2849.92,7391.78
7.386,18,30.52,21.9,2849.92,7391.78
7.58435,450,24.96,23.6,2852.41,7385.6
7.58627,18,30.65,21.9,2852.41,7385.6
7.78435,450,24.98,23.6,2854.9,7379.42
7.786,18,30.8,21.9,2854.9,7379.42
7.98462,450,24.97,23.6,2857.38,7373.25
7.986,18,30.94,21.9,2857.38,7373.25
8.00901,524,32.99,23.6,2858.63,7370.16
8.18435,450,24.97,23.6,2859.87,7367.07
8.18627,18,31.09,21.9,2859.87,7367.07
8.20874,524,32.83,23.6,2861.11,7363.99
8.34834,598,30.39,23.6,2862.36,7360.9
8.38435,450,24.97,23.6,2862.36,7360.9
8.386,18,31.27,21.9,2862.36,7360.9
8.40874,524,32.63,23.6,2863.6,7357.81
8.54807,598,30.81,23.6,2864.84,7354.72
8.58462,450,24.98,23.6,2864.84,7354.72
8.586,18,31.4,21.9,2864.84,7354.72
8.60901,524,32.44,23.6,2866.09,7351.63
8.74807,598,31.18,23.6,2867.33,7348.55
8.78435,450,24.99,23.6,2867.33,7348.55
8.78627,18,31.55,21.9,2867.33,7348.55
8.80874,524,32.28,23.6,2868.58,7345.46
8.94834,598,31.6,23.6,2869.82,7342.37
8.98435,450,24.97,23.6,2869.82,7342.37
8.986,18,31.7,21.9,2869.82,7342.37
9.00874,524,32.07,23.6,2871.06,7339.28
9.14807,598,32.11,23.6,2872.31,7336.19
9.18462,450,25,23.6,2872.31,7336.19
9.186,18,31.81,21.9,2872.31,7336.19
9.20901,524,31.94,23.6,2873.55,7333.11
9.34807,598,32.63,23.6,2874.8,7330.02
9.38435,450,24.99,23.6,2874.8,7330.02
9.38627,18,31.93,21.9,2874.8,7330.02
9.40874,524,31.75,23.6,2876.04,7326.93
9.54834,598,33.04,23.6,2877.28,7323.84
9.58435,450,24.94,23.6,2877.28,7323.84
9.586,18,32.09,21.9,2877.28,7323.84
9.60874,524,31.53,23.6,2878.53,7320.75
