Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,DrowsinessLevel,ReactionTime,Distance,Action
9.246,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,243.154,CriticalSpeedReduction
9.306,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,246.466,CriticalSpeedReduction
9.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.446,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,249.791,CriticalSpeedReduction
9.506,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,253.116,CriticalSpeedReduction
9.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.646,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,256.439,CriticalSpeedReduction
9.706,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,259.768,CriticalSpeedReduction
9.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.846,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,263.088,CriticalSpeedReduction
9.906,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,266.409,CriticalSpeedReduction
10.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.046,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,269.734,CriticalSpeedReduction
10.106,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,273.052,CriticalSpeedReduction
10.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.246,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,276.367,CriticalSpeedReduction
10.306,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,279.684,CriticalSpeedReduction
10.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.446,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,282.997,CriticalSpeedReduction
10.506,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,286.312,CriticalSpeedReduction
10.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.646,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,289.639,CriticalSpeedReduction
10.706,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,292.969,CriticalSpeedReduction
10.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.846,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,296.292,CriticalSpeedReduction
10.906,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,299.614,CriticalSpeedReduction
11.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.046,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,302.931,CriticalSpeedReduction
11.106,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,306.251,CriticalSpeedReduction
11.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.246,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,309.566,CriticalSpeedReduction
11.306,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,312.891,CriticalSpeedReduction
11.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.446,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,316.221,CriticalSpeedReduction
11.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
17.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
17.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
17.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
17.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
17.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
17.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
17.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
17.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
17.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
17.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
18.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
18.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
18.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
18.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
18.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
18.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
18.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
18.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
18.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
18.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
19.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
19.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
19.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
19.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
19.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
19.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
19.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
19.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
19.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
19.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
20.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
20.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
20.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
20.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
20.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
20.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
20.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
20.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
20.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
20.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
23.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
23.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
23.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
23.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
23.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
23.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
23.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
23.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
23.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
23.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
24.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
24.134,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
24.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
24.334,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
24.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
24.534,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
24.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
24.734,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
24.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
24.934,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
25.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
