Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,DrowsinessLevel,ReactionTime,Distance,Action
13.297,normal_flow.4,0.259,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.397,normal_flow.4,0.506,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.497,normal_flow.4,0.730,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.597,normal_flow.4,0.959,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.697,normal_flow.4,1.209,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.797,normal_flow.4,1.444,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.897,normal_flow.4,1.647,No,N/A,N/A,N/A,N/A,N/A,NoAlert
13.997,normal_flow.4,1.850,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.097,normal_flow.4,2.091,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.197,normal_flow.4,2.298,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.297,normal_flow.4,2.458,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.397,normal_flow.4,2.650,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.497,normal_flow.4,2.864,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.597,normal_flow.4,3.094,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.697,normal_flow.4,3.267,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.797,normal_flow.4,3.522,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.897,normal_flow.4,3.766,No,N/A,N/A,N/A,N/A,N/A,NoAlert
14.997,normal_flow.4,4.023,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.097,normal_flow.4,4.175,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.197,normal_flow.4,4.429,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.297,normal_flow.4,4.613,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.397,normal_flow.4,4.813,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.497,normal_flow.4,5.028,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.597,normal_flow.4,5.247,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.697,normal_flow.4,5.482,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.797,normal_flow.4,5.656,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.897,normal_flow.4,5.817,No,N/A,N/A,N/A,N/A,N/A,NoAlert
15.997,normal_flow.4,6.004,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.097,normal_flow.4,6.215,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.197,normal_flow.4,6.382,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.297,normal_flow.4,6.561,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.397,normal_flow.4,6.818,No,N/A,N/A,N/A,N/A,N/A,NoAlert
16.497,normal_flow.4,7.007,No,N/A,N/A,N/A,N/A,N/A,NoAlert
