Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,DrowsinessLevel,ReactionTime,Distance,Action
20.993,normal_flow.6,0.260,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.093,normal_flow.6,0.509,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.193,normal_flow.6,0.752,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.293,normal_flow.6,1.003,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.393,normal_flow.6,1.226,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.493,normal_flow.6,1.478,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.593,normal_flow.6,1.713,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.693,normal_flow.6,1.912,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.793,normal_flow.6,2.072,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.893,normal_flow.6,2.328,No,N/A,N/A,N/A,N/A,N/A,NoAlert
21.993,normal_flow.6,2.539,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.093,normal_flow.6,2.685,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.193,normal_flow.6,2.872,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.293,normal_flow.6,3.046,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.393,normal_flow.6,3.269,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.493,normal_flow.6,3.418,No,N/A,N/A,N/A,N/A,N/A,NoAlert
22.593,normal_flow.6,3.617,No,N/A,N/A,N/A,N/A,N/A,NoAlert
