Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,DrowsinessLevel,ReactionTime,Distance,Action
3.106,normal_flow.0,0.000,Yes,Warning,drowsy_driver,0.705,1.910,64.795,SlightSpeedReduction
3.246,normal_flow.0,0.000,Yes,Warning,drowsy_driver,0.742,1.984,67.256,SlightSpeedReduction
3.306,normal_flow.0,0.000,Yes,Warning,drowsy_driver,0.744,1.988,69.730,SlightSpeedReduction
3.432,normal_flow.0,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.446,normal_flow.0,0.000,Yes,Warning,drowsy_driver,0.774,2.047,72.214,SlightSpeedReduction
3.506,normal_flow.0,0.000,Yes,Critical,drowsy_driver,0.812,2.125,74.708,CriticalSpeedReduction
3.632,normal_flow.0,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.646,normal_flow.0,0.000,Yes,Critical,drowsy_driver,0.824,2.149,77.210,CriticalSpeedReduction
3.706,normal_flow.0,0.000,Yes,Critical,drowsy_driver,0.860,2.221,79.730,CriticalSpeedReduction
3.832,normal_flow.0,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.846,normal_flow.0,0.000,Yes,Critical,drowsy_driver,0.895,2.290,82.268,CriticalSpeedReduction
3.906,normal_flow.0,0.000,Yes,Critical,drowsy_driver,0.926,2.351,84.815,CriticalSpeedReduction
4.032,normal_flow.0,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.046,normal_flow.0,0.000,Yes,Critical,drowsy_driver,0.959,2.418,87.387,CriticalSpeedReduction
4.106,normal_flow.0,0.000,Yes,Critical,drowsy_driver,0.975,2.450,89.979,CriticalSpeedReduction
4.232,normal_flow.0,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.246,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,92.539,CriticalSpeedReduction
4.306,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,95.179,CriticalSpeedReduction
4.432,normal_flow.0,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.446,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,97.828,CriticalSpeedReduction
4.506,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,100.486,CriticalSpeedReduction
4.632,normal_flow.0,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.646,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,103.156,CriticalSpeedReduction
4.706,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,105.847,CriticalSpeedReduction
4.832,normal_flow.0,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.846,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,108.545,CriticalSpeedReduction
4.906,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,111.265,CriticalSpeedReduction
5.032,normal_flow.0,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.046,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,113.999,CriticalSpeedReduction
5.106,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,116.746,CriticalSpeedReduction
5.232,normal_flow.0,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.246,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,119.516,CriticalSpeedReduction
5.306,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,122.311,CriticalSpeedReduction
5.432,normal_flow.0,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.446,normal_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,125.118,CriticalSpeedReduction
