Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,DrowsinessLevel,ReactionTime,Distance,Action
3.187,normal_flow.0,0.254,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.287,normal_flow.0,0.513,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.387,normal_flow.0,0.740,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.487,normal_flow.0,0.999,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.587,normal_flow.0,1.245,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.687,normal_flow.0,1.495,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.787,normal_flow.0,1.701,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.887,normal_flow.0,1.899,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.987,normal_flow.0,2.154,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.046,normal_flow.0,2.408,Yes,Warning,drowsy_driver,0.625,1.750,86.047,SlightSpeedReduction
4.106,normal_flow.0,1.958,Yes,Warning,drowsy_driver,0.655,1.810,88.443,SlightSpeedReduction
4.246,normal_flow.0,1.566,Yes,Warning,drowsy_driver,0.660,1.821,90.903,SlightSpeedReduction
