Time,VehicleID,Speed,PositionX,PositionY,DetectedObjects,TTC,SubCauseCode,DangerVehicleID
9.386,vehA,18.880,2843.647,7414.757,1,13.014199,0,vehB
9.486,vehA,18.977,2844.406,7413.017,1,13.353831,0,vehB
9.586,vehA,19.073,2845.168,7411.269,1,13.709577,0,vehB
9.686,vehA,19.136,2845.933,7409.515,1,13.945211,0,vehB
9.786,vehA,19.222,2846.702,7407.753,1,14.283261,0,vehB
9.886,vehA,19.295,2847.473,7405.984,1,14.584282,0,vehB
9.986,vehA,19.385,2848.248,7404.208,1,14.968442,0,vehB
10.086,vehA,19.458,2849.026,7402.424,1,15.278981,0,vehB
10.186,vehA,19.552,2849.804,7400.631,1,15.716456,0,vehB
10.286,vehA,19.646,2850.538,7398.808,1,16.168008,0,vehB
10.386,vehA,19.732,2851.275,7396.978,1,16.590209,0,vehB
10.486,vehA,19.821,2852.016,7395.139,1,17.041957,0,vehB
10.586,vehA,19.906,2852.760,7393.293,1,17.496528,0,vehB
10.686,vehA,19.998,2853.507,7391.438,1,18.021210,0,vehB
10.786,vehA,20.062,2854.256,7389.577,1,18.344335,0,vehB
10.886,vehA,20.150,2855.009,7387.708,1,18.880920,0,vehB
10.986,vehA,20.216,2855.765,7385.833,1,19.240630,0,vehB
11.086,vehA,20.272,2856.522,7383.953,1,19.522408,0,vehB
11.186,vehA,20.329,2857.281,7382.067,1,19.820629,0,vehB
11.286,vehA,20.405,2858.044,7380.174,1,20.316162,0,vehB
11.386,vehA,20.501,2858.810,7378.273,1,21.056094,0,vehB
11.486,vehA,20.571,2859.578,7376.365,1,21.544989,0,vehB
11.586,vehA,20.640,2860.350,7374.450,1,22.046962,0,vehB
11.686,vehA,20.717,2861.124,7372.528,1,22.690397,0,vehB
11.786,vehA,20.770,2861.900,7370.602,1,23.044132,0,vehB
11.886,vehA,20.860,2862.679,7368.667,1,23.940892,0,vehB
11.986,vehA,20.951,2863.462,7366.724,2,3.275729,0,vehC
12.086,vehA,21.005,2864.247,7364.775,2,4.142804,0,vehC
12.186,vehA,21.059,2865.033,7362.822,2,2.775521,1,vehC
12.286,vehA,21.150,2865.824,7360.860,2,1.337092,2,vehC
12.386,vehA,21.249,2866.617,7358.889,1,30.672099,0,vehB
12.486,vehA,21.303,2867.413,7356.913,1,46.613924,0,vehB
12.586,vehA,21.387,2868.212,7354.929,1,69.157459,0,vehB
12.686,vehA,21.460,2869.014,7352.939,1,98.284024,0,vehB
12.786,vehA,21.543,2869.819,7350.940,1,114.171343,0,vehB
12.886,vehA,21.606,2870.626,7348.936,1,7.122092,0,vehB
12.986,vehA,21.705,2871.437,7346.923,1,3.918055,0,vehB
13.086,vehA,21.789,2872.251,7344.902,1,5.125926,0,vehB
13.186,vehA,21.844,2873.068,7342.876,1,6.879614,0,vehB
13.286,vehA,21.906,2873.886,7340.844,1,9.678975,0,vehB
13.386,vehA,21.990,2874.708,7338.804,1,14.892444,0,vehB
13.486,vehA,22.053,2875.532,7336.758,1,27.292618,0,vehB
13.586,vehA,22.123,2876.358,7334.706,1,98.116392,0,vehB
13.686,vehA,22.207,2877.188,7332.647,1,76.405624,0,vehB
13.786,vehA,22.268,2878.020,7330.581,1,30.314881,0,vehB
13.886,vehA,22.331,2878.854,7328.510,1,19.775342,0,vehB
13.986,vehA,22.420,2879.692,7326.430,1,14.980961,0,vehB
14.086,vehA,22.504,2880.533,7324.343,1,12.327380,0,vehB
14.186,vehA,22.594,2881.377,7322.247,1,10.620022,0,vehB
14.286,vehA,22.666,2882.224,7320.144,1,9.467066,0,vehB
14.386,vehA,22.752,2883.074,7318.034,1,8.599452,0,vehB
14.486,vehA,22.819,2883.926,7315.917,1,7.959653,0,vehB
14.586,vehA,22.878,2884.781,7313.795,1,7.461674,0,vehB
