timestamp,vehicleId,speed,heading,longitude,latitude
3.186,18,24.63,23.6,-8647700,443398850
3.2648,91,1.85,23.6,-8650520,443393840
3.38627,18,24.86,23.6,-8647440,443399250
3.4648,91,1.18,23.6,-8650510,443393860
3.586,18,25.04,23.6,-8647170,443399660
3.66507,91,0.49,23.6,-8650500,443393880
3.786,18,25.4,23.6,-8646900,443400070
3.8648,91,0.12,23.6,-8650500,443393880
3.98627,18,25.73,23.6,-8646630,443400490
4.0648,91,0.03,23.6,-8650500,443393880
4.186,18,26.18,23.6,-8646360,443400910
4.26507,91,0.01,23.6,-8650500,443393880
4.386,18,26.5,23.6,-8646070,443401350
4.4648,91,0,23.6,-8650500,443393880
4.58627,18,26.7,23.6,-8645790,443401780
4.6648,91,0,23.6,-8650500,443393880
4.786,18,26.99,23.6,-8645510,443402220
4.86507,91,0,23.6,-8650500,443393880
4.986,18,27.34,23.6,-8645220,443402660
5.0648,91,0,23.6,-8650500,443393880
5.18627,18,27.7,23.6,-8644920,443403110
5.2648,91,0,23.6,-8650500,443393880
5.386,18,28.07,23.6,-8644630,443403570
5.43442,521,0,23.6,-8650910,443393250
5.46507,91,0,23.6,-8650500,443393880
5.586,18,28.46,23.6,-8644320,443404030
5.63415,521,0,23.6,-8650910,443393250
5.6648,91,0,23.6,-8650500,443393880
5.78628,18,28.67,23.6,-8644020,443404500
5.83415,521,0,23.6,-8650910,443393250
5.8648,91,0,23.6,-8650500,443393880
5.986,18,28.96,23.6,-8643710,443404970
6.03442,521,0,23.6,-8650910,443393250
6.06507,91,0,23.6,-8650500,443393880
6.186,18,29.39,23.6,-8643400,443405450
6.23415,521,0,23.6,-8650910,443393250
6.2648,91,0,23.6,-8650500,443393880
6.38628,18,29.77,23.6,-8643090,443405930
6.43415,521,0,23.6,-8650910,443393250
6.4648,91,0,23.6,-8650500,443393880
6.586,18,29.98,22.7,-8642780,443406420
6.63442,521,0,23.6,-8650910,443393250
6.66507,91,0,23.6,-8650500,443393880
6.786,18,30.31,21.9,-8642480,443406920
6.83415,521,0,23.6,-8650910,443393250
6.8648,91,0,23.6,-8650500,443393880
6.98628,18,30.59,21.9,-8642170,443407420
7.03415,521,0,23.6,-8650910,443393250
7.0648,91,0,23.6,-8650500,443393880
7.186,18,30.91,21.9,-8641860,443407930
7.23442,521,0,23.6,-8650910,443393250
7.26507,91,0,23.6,-8650500,443393880
7.386,18,31.27,21.9,-8641550,443408450
7.43415,521,0,23.6,-8650910,443393250
7.4648,91,0,23.6,-8650500,443393880
7.58628,18,31.57,21.9,-8641240,443408970
7.63415,521,0,23.6,-8650910,443393250
7.6648,91,0,23.6,-8650500,443393880
7.786,18,31.72,21.9,-8640920,443409490
7.83442,521,0,23.6,-8650910,443393250
7.86507,91,0,23.6,-8650500,443393880
7.986,18,31.97,21.9,-8640600,443410020
8.03415,521,0,23.6,-8650910,443393250
8.0648,91,0,23.6,-8650500,443393880
8.18628,18,32.42,21.9,-8640280,443410550
8.23415,521,0,23.6,-8650910,443393250
8.2648,91,0,23.6,-8650500,443393880
8.386,18,32.72,21.9,-8639960,443411090
8.43442,521,0,23.6,-8650910,443393250
8.46507,91,0,23.6,-8650500,443393880
8.586,18,32.95,21.9,-8639630,443411640
8.63415,521,0,23.6,-8650910,443393250
8.6648,91,0,23.6,-8650500,443393880
8.78628,18,33.13,21.9,-8639300,443412180
8.83415,521,0,23.6,-8650910,443393250
8.8648,91,0,23.6,-8650500,443393880
8.986,18,33.25,21.9,-8638970,443412730
9.03442,521,0,23.6,-8650910,443393250
9.06507,91,0,23.6,-8650500,443393880
9.186,18,33.29,21.9,-8638640,443413280
9.23415,521,0,23.6,-8650910,443393250
9.2648,91,0,23.6,-8650500,443393880
9.38628,18,33.25,21.9,-8638300,443413830
9.43415,521,0,23.6,-8650910,443393250
9.4648,91,0,23.6,-8650500,443393880
9.586,18,33.23,21.9,-8637970,443414380
9.63442,521,0,23.6,-8650910,443393250
9.66507,91,0,23.6,-8650500,443393880
9.786,18,33.2,21.9,-8637640,443414930
9.83415,521,0,23.6,-8650910,443393250
9.8648,91,0,23.6,-8650500,443393880
9.98628,18,33.25,21.9,-8637310,443415470
10.0341,521,0,23.6,-8650910,443393250
10.0648,91,0,23.6,-8650500,443393880
10.186,18,33.15,21.9,-8636980,443416020
10.2344,521,0,23.6,-8650910,443393250
10.2651,91,0,23.6,-8650500,443393880
10.386,18,33.13,21.9,-8636650,443416570
10.4341,521,0,23.6,-8650910,443393250
10.4648,91,0,23.6,-8650500,443393880
10.5863,18,33.28,21.9,-8636320,443417120
10.6341,521,0,23.6,-8650910,443393250
10.6648,91,0,23.6,-8650500,443393880
10.786,18,33.24,21.9,-8635990,443417670
10.8344,521,0,23.6,-8650910,443393250
10.8651,91,0,23.6,-8650500,443393880
10.986,18,33.18,21.9,-8635650,443418220
11.0341,521,0,23.6,-8650910,443393250
11.0648,91,0,23.6,-8650500,443393880
11.1863,18,33.15,21.9,-8635320,443418760
11.2341,521,0,23.6,-8650910,443393250
11.2648,91,0,23.6,-8650500,443393880
11.386,18,33.31,21.9,-8634990,443419310
11.4344,521,0,23.6,-8650910,443393250
11.4651,91,0,23.6,-8650500,443393880
11.6341,521,0,23.6,-8650910,443393250
11.6648,91,0,23.6,-8650500,443393880
11.8341,521,0,23.6,-8650910,443393250
11.8648,91,0,23.6,-8650500,443393880
12.0344,521,0,23.6,-8650910,443393250
12.0651,91,0,23.6,-8650500,443393880
12.2341,521,0,23.6,-8650910,443393250
12.2648,91,0,23.6,-8650500,443393880
12.4341,521,0,23.6,-8650910,443393250
12.4648,91,0,23.6,-8650500,443393880
12.6344,521,0,23.6,-8650910,443393250
12.6651,91,0,23.6,-8650500,443393880
12.8341,521,0,23.6,-8650910,443393250
12.8648,91,0,23.6,-8650500,443393880
13.0341,521,0,23.6,-8650910,443393250
13.0648,91,0,23.6,-8650500,443393880
13.2344,521,0,23.6,-8650910,443393250
13.2651,91,0,23.6,-8650500,443393880
13.4341,521,0,23.6,-8650910,443393250
13.4648,91,0,23.6,-8650500,443393880
13.6341,521,0,23.6,-8650910,443393250
13.6648,91,0,23.6,-8650500,443393880
13.8344,521,0,23.6,-8650910,443393250
13.8651,91,0,23.6,-8650500,443393880
14.0341,521,0,23.6,-8650910,443393250
14.0648,91,0,23.6,-8650500,443393880
14.2341,521,0,23.6,-8650910,443393250
14.2648,91,0,23.6,-8650500,443393880
14.4344,521,0,23.6,-8650910,443393250
14.4651,91,0,23.6,-8650500,443393880
14.6341,521,0,23.6,-8650910,443393250
14.6648,91,0,23.6,-8650500,443393880
14.8341,521,0,23.6,-8650910,443393250
14.8648,91,0,23.6,-8650500,443393880
15.0344,521,0,23.6,-8650910,443393250
15.0651,91,0,23.6,-8650500,443393880
15.2341,521,0,23.6,-8650910,443393250
15.2648,91,0,23.6,-8650500,443393880
15.4341,521,0,23.6,-8650910,443393250
15.4648,91,0,23.6,-8650500,443393880
15.6344,521,0,23.6,-8650910,443393250
15.6651,91,0,23.6,-8650500,443393880
15.8341,521,0,23.6,-8650910,443393250
15.8648,91,0,23.6,-8650500,443393880
16.0341,521,0,23.6,-8650910,443393250
16.0648,91,0,23.6,-8650500,443393880
16.2344,521,0,23.6,-8650910,443393250
16.2651,91,0,23.6,-8650500,443393880
16.4341,521,0,23.6,-8650910,443393250
16.4648,91,0,23.6,-8650500,443393880
16.6341,521,0,23.6,-8650910,443393250
16.6648,91,0,23.6,-8650500,443393880
16.8344,521,0,23.6,-8650910,443393250
16.8651,91,0,23.6,-8650500,443393880
17.0341,521,0,23.6,-8650910,443393250
17.0648,91,0,23.6,-8650500,443393880
17.2341,521,0,23.6,-8650910,443393250
17.2648,91,0,23.6,-8650500,443393880
17.4344,521,0,23.6,-8650910,443393250
17.4651,91,0,23.6,-8650500,443393880
17.6341,521,0,23.6,-8650910,443393250
17.6648,91,0,23.6,-8650500,443393880
17.8341,521,0,23.6,-8650910,443393250
17.8648,91,0,23.6,-8650500,443393880
18.0344,521,0,23.6,-8650910,443393250
18.0651,91,0,23.6,-8650500,443393880
18.2341,521,0,23.6,-8650910,443393250
18.2648,91,0,23.6,-8650500,443393880
18.4341,521,0,23.6,-8650910,443393250
18.4648,91,0,23.6,-8650500,443393880
18.6344,521,0,23.6,-8650910,443393250
18.6651,91,0,23.6,-8650500,443393880
18.8341,521,0,23.6,-8650910,443393250
18.8648,91,0,23.6,-8650500,443393880
19.0341,521,0,23.6,-8650910,443393250
19.0648,91,0,23.6,-8650500,443393880
19.2344,521,0,23.6,-8650910,443393250
19.2651,91,0,23.6,-8650500,443393880
19.4341,521,0,23.6,-8650910,443393250
19.4648,91,0,23.6,-8650500,443393880
19.6341,521,0,23.6,-8650910,443393250
19.6648,91,0,23.6,-8650500,443393880
19.8344,521,0,23.6,-8650910,443393250
19.8651,91,0,23.6,-8650500,443393880
20.0341,521,0,23.6,-8650910,443393250
