timestamp,vehicleId,speed,heading,longitude,latitude
15.6651,91,29.95,21.9,-8638850,443412200
15.6732,667,10.01,23.6,-8649510,443395400
15.6919,448,24.81,22.5,-8642390,443406340
15.7624,521,19.68,23.6,-8645490,443401560
15.7783,594,15,23.6,-8647770,443398060
15.7972,740,5.66,23.6,-8650490,443393880
15.8648,91,30.39,21.9,-8638550,443412700
15.873,667,10.47,23.6,-8649400,443395570
15.8922,448,25.21,21.9,-8642140,443406760
15.9626,521,20.13,23.6,-8645280,443401890
15.9783,594,15.39,23.6,-8647610,443398310
15.9969,740,6,23.6,-8650430,443393980
16.0648,91,30.82,21.9,-8638250,443413200
16.073,667,10.95,23.6,-8649280,443395740
16.0919,448,25.59,21.9,-8641880,443407180
16.1624,521,20.51,23.6,-8645060,443402220
16.1785,594,15.86,23.6,-8647440,443398570
16.1969,740,6.38,23.6,-8650360,443394080
16.2651,91,31.23,21.9,-8637930,443413720
16.2732,667,11.43,23.6,-8649160,443395930
16.2919,448,25.94,21.9,-8641620,443407610
16.3624,521,20.93,23.6,-8644840,443402560
16.3783,594,16.26,23.6,-8647270,443398830
16.3972,740,6.82,23.6,-8650290,443394190
16.4648,91,31.61,21.9,-8637620,443414240
16.473,667,11.87,23.6,-8649030,443396120
16.4922,448,26.25,21.9,-8641360,443408040
